               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.089742,             0.07502,            0.062482,            0.033024,             0.84413,             0.36442,             0.17409,            0.066082,            0.044387,            0.058853,            0.066429,           0.0034289,           0.0034289
                  38,            0.093507,            0.082515,            0.062601,            0.031503,             0.90891,             0.33059,             0.15566,            0.067042,            0.042934,            0.057117,            0.065514,           0.0035141,           0.0035141
                  39,             0.08668,            0.072264,            0.060842,            0.031503,             0.90891,             0.33059,             0.15566,            0.067042,            0.042934,            0.057117,            0.064599,           0.0035988,           0.0035988
                  40,            0.084682,            0.066952,            0.060131,             0.33377,             0.29555,             0.34517,             0.18121,            0.067427,            0.041618,            0.055847,            0.063683,           0.0036832,           0.0036832
                  41,            0.085976,            0.072467,            0.058033,             0.33377,             0.29555,             0.34517,             0.18121,            0.067427,            0.041618,            0.055847,            0.062767,           0.0037672,           0.0037672
                  42,            0.081288,            0.053894,            0.059979,                 0.5,             0.16672,             0.41788,              0.1923,            0.067171,            0.040151,             0.05477,            0.061851,           0.0038507,           0.0038507
                  43,            0.088438,            0.081638,            0.059081,                 0.5,             0.16672,             0.41788,              0.1923,            0.067171,            0.040151,             0.05477,            0.060934,           0.0039339,           0.0039339
                  44,            0.079173,            0.062254,            0.056442,              0.5714,             0.44889,             0.44981,             0.21149,            0.066643,            0.038045,            0.053419,            0.060017,           0.0040167,           0.0040167
                  45,            0.090949,            0.081308,            0.057713,              0.5714,             0.44889,             0.44981,             0.21149,            0.066643,            0.038045,            0.053419,            0.059099,           0.0040991,           0.0040991
                  46,             0.07823,            0.073056,            0.055555,              0.4655,             0.49332,             0.48186,             0.23394,            0.067391,            0.034473,            0.051233,            0.058181,            0.004181,            0.004181
